,en,fr
audio.master_volume,"General Volume","Volume général"
audio.master_volume_description,"MASTER VOLUME - set the volume for all audio","VOLUME GÉNÉRAL - définis le volume pour l'ensemble des canaux audio"
audio.locale,"Language","Langue"
audio.locale_description,"LANGUAGE - set langue used for all displayed text","LANGUE - définis la langue d'affichage des textes"
audio.music_volume,"Music","Musique"
audio.music_volume_description,"MUSIC VOLUME - set the volume for music","MUSIQUE - définis le volume de la musique"
audio.title,"Audio","Audio"
audio.sfx_volume,"Sound effects","Effets sonores"
audio.sfx_volume_description,"SOUND EFFECTS - set the volume for all in-game sound effect","EFFETS SONORE - définis le volume des effets sonores"
audio.ui_volume,"Interface","Interface"
audio.ui_volume_description,"UI EFFECTS - set the volume for the menu","définis le volume du menu"
