,en,fr
cfg.alt,"Alt","Alt"
cfg.borderless,"borderless","sans bordure"
cfg.custom,"Custom","Personalisé"
cfg.default,"Default","Défaut"
cfg.disabled,"disabled","désactivé"
cfg.enabled,"enabled","activé"
cfg.fullscreen,"fullscreen","plein écran"
cfg.inverted,"inverted","inversé"
cfg.no,"no","non"
cfg.normal,"normal","normal"
cfg.stick_layout_movement_camera,"Movement/Camera","Mouvement/Camera"
cfg.stick_layout_camera_movement,"Camera/Movement","Camera/Mouvement"
cfg.windowed,"windowed","fenêtré"
cfg.yes,"yes","oui"
