,en,fr
ui_controls_alt,"Alt","Alt"
ui_controls_binding_action,"Binding {action}","Liason à {action}"
ui_controls_binding_key_with_default,"Currently bound to {key} [default {default_key}]","lier à {key} [Par défaut {default_key}]"
ui_controls_binding_key,"Currently bound to {key}","lier à {key}"
ui_controls_unbinding_action,"Unbinding {key} from {action}","Désassigne {key} de {action}]"
ui_controls_hold_to_unbind,"Hold {unbind_action_key} to remove {key} from {action}","Maintener {unbind_action_key} pour supprimer {key} de {action}]"
ui_controls_cancel_unbind,"Release {unbind_action_key} to cancel","Relâcher {unbind_action_key} pour annuler"
ui_controls_cancel_binding,"Press {key} to cancel","Appuyez sur {key} pour annuler"
ui_controls_change_binding,"Change binding","Modifier la configuration"
ui_controls_change_binding_to_new_action,"Binding {key} to {new_action} will remove it from {previous_action}","Lier {key} à {new_action} le supprimera de {previous_action}"
ui_controls_default,"Default","Défaut"
ui_controls_rebind,"Rebind","Changer"
ui_key_unassigned,"Unassigned","Non assignée"
