,en,fr
mouse.left_mouse_button,"Left mouse button","Bouton gauche de la souris"
mouse.mask_left_mouse_button,"Left mouse button mask","__ui_keybinding_mask_left_mouse_button"
mouse.mask_right_mouse_button,"Right mouse button mask","__ui_keybinding_mask_right_mouse_button"
mouse.mask_middle_mouse_button,"Middle mouse button mask","__ui_keybinding_mask_middle_mouse_button"
mouse.mask_xbutton1_mouse_button,"Extra mouse button 1 mask","__ui_keybinding_mask_xbutton1_mouse_button"
mouse.mask_xbutton2_mouse_button,"Extra mouse button 2 mask","__ui_keybinding_mask_xbutton2_mouse_button"
mouse.middle_mouse_button,"Middle mouse button","Bouton du milieu de la souris"
mouse.mouse_xbutton1,"Extra mouse button 1","__ui_keybinding_mouse_xbutton1"
mouse.mouse_xbutton2,"Extra mouse button 2","__ui_keybinding_mouse_xbutton2"
mouse.right_mouse_button,"Right mouse button","Bouton droit de la souris"
mouse.wheel_up_mouse_button,"Mouse wheel up","__ui_keybinding_wheel_up_mouse_button"
mouse.wheel_down_mouse_button,"Mouse wheel down","__ui_keybinding_wheel_down_mouse_button"
mouse.wheel_left_mouse_button,"Mouse wheel left button","__ui_keybinding_wheel_left_mouse_button"
mouse.wheel_right_mouse_button,"Mouse wheel right button","__ui_keybinding_wheel_right_mouse_button"
