,en,fr
rebind.alt,"Alt","Alt"
rebind.binding,"Binding","Lier"
rebind.binding_action,"Binding {action}","Liason à {action}"
rebind.bound_to,"Currently bound to","lier à"
rebind.bound_to_key,"Currently bound to {key}","lier à {key}"
rebind.cancel_binding,"Press {key} to cancel","Appuyez sur {key} pour annuler"
rebind.change_binding,"Change binding","Modifier la configuration"
rebind.change_binding_to_new_action,"Binding {key} to {new_action} will remove it from {previous_action}","Lier {key} à {new_action} le supprimera de {previous_action}"
rebind.from_action,"from {action}","de {action}"
rebind.gamepad,"Rebind gamepad button","Personnaliser la manette"
rebind.hold,"Hold","Maintenir"
rebind.hold_to_unbind,"Hold {unbind_action_key} to remove {key} from {action}","Maintenir {unbind_action_key} pour supprimer {key} de {action}]"
rebind.key_unassigned,"Unassigned","Non assignée"
rebind.keyboard,"Change keyboard keys","Disposition du clavier"
rebind.press,"Press","Appuyez sur"
rebind.rebind,"Rebind","Changer"
rebind.required_multi_actions_unmapped,"{actions} are not mapped","{actions} ne sont pas liés"
rebind.required_multi_actions_unmapped_title,"Some actions are unassigned","Certaines actions ne sont pas liées"
rebind.required_single_action_unmapped,"{actions} is not mapped","{actions} n'est pas lié"
rebind.required_single_action_unmapped_title,"An action is unassigned","Une action n'est pas assignée"
rebind.release,"Release","Relâcher"
rebind.release_to_cancel_unbind,"Release {unbind_action_key} to cancel","Relâcher {unbind_action_key} pour annuler"
rebind.reset_to_default,"Reset to default","Configuration par defaut"
rebind.to_cancel,"to cancel","pour annuler"
rebind.to_new_action," to {new_action} will remove it from {previous_action}", " à {new_action} le supprimera de {previous_action}"
rebind.to_remove,"to remove","pour supprimer"
rebind.unbinding,"Unbinding","Désassigne"
rebind.unbinding_action,"Unbinding {key} from {action}","Désassigne {key} de {action}"
